id;name;gender;dob;dod;country;language
1;Alaska;MALE;2023-03-21;2023-03-21;AUSTRIA;GERMAN
2;National Ghana;MALE;2023-03-20;2023-03-21;SWITZERLAND;ITALIAN
3;Fantastic;FEMALE;2023-03-20;2023-03-21;AUSTRIA;ENGLISH
4;blue;FEMALE;2023-03-20;2023-03-20;UNSPECIFIED;OTHER
5;hack;UNSPECIFIED;2023-03-21;2023-03-20;OTHER;UNSPECIFIED
6;Planner Shoes;OTHER;2023-03-21;2023-03-20;UNITED_KINGDOM;UNSPECIFIED
7;model;UNSPECIFIED;2023-03-20;2023-03-20;UNITED_KINGDOM;GERMAN
8;Sausages Buckinghamshire;FEMALE;2023-03-21;2023-03-20;UNSPECIFIED;ITALIAN
9;cyan CFA;OTHER;2023-03-20;2023-03-21;UNSPECIFIED;RUSSIAN
10;Home;OTHER;2023-03-21;2023-03-20;GERMANY;UNSPECIFIED
